harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high
BQ,GPS_TO_VPS,12,8,12,66.67,39.06,86.19,20,40,50.0,35.2,64.8,8,2.7083,0.1498,2.735,2.6158,2.7742,2.467,2.933,2.5831,2.8334,10,21.9237,27.9511,12.9745,8.2297,18.5838,2.034,96.54,1.9287,41.9187,12,4.8117,4.5795,1.732,1.7045,10.921,1.668,11.092,1.9021,7.7214,12,5.0327,0.2286,5.0396,4.9612,5.1811,4.569,5.4159,4.8875,5.178,12,1.9978,1.3292,2.746,0.413,2.9116,0.031,3.188,1.1533,2.8423,12,15.919,9.3553,19.5835,11.5353,21.9085,0.0,26.513,9.9749,21.8631,12,3.3333,1.8749,4.0,1.0,4.0,1.0,6.0,2.1421,4.5246,12,3.0,2.3355,4.0,0.0,4.0,0.0,6.0,1.5161,4.4839
BT,GPS_TO_VPS,13,10,12,83.33,55.2,95.3,10,34,29.41,16.83,46.17,10,2.9893,0.2277,2.9245,2.8222,3.174,2.694,3.322,2.8264,3.1522,10,18.9477,15.9695,12.197,7.5,28.229,5.028,51.333,7.5238,30.3716,12,3.1782,3.4122,1.7245,1.7087,1.7528,1.673,10.537,1.0102,5.3463,13,5.0212,0.2008,4.9764,4.9285,5.1048,4.6794,5.4605,4.8999,5.1426,12,1.9144,0.6845,2.1825,1.9866,2.3002,0.444,2.4101,1.4794,2.3493,12,19.6943,11.8906,17.682,17.249,18.4453,2.526,54.625,12.1394,27.2493,13,2.6154,1.1929,2.0,2.0,4.0,1.0,4.0,1.8945,3.3363,13,1.5385,2.0255,0.0,0.0,4.0,0.0,4.0,0.3145,2.7624
V1,GPS_TO_VPS,15,7,13,53.85,29.14,76.79,32,56,57.14,44.14,69.23,7,2.1391,0.1555,2.117,2.0125,2.2675,1.951,2.346,1.9953,2.2829,12,31.6231,57.3996,12.2075,8.7933,25.71,2.007,210.809,-4.8469,68.093,13,6.2167,5.0422,1.772,1.738,11.51,1.657,11.555,3.1697,9.2637,15,5.0932,0.2139,5.128,4.8741,5.2572,4.7852,5.404,4.9747,5.2117,13,2.2817,1.7654,3.5546,0.1315,3.7053,0.0,4.155,1.2148,3.3485,13,23.4832,17.3074,29.295,9.31,30.451,0.0,62.214,13.0245,33.942,15,3.7333,1.7915,4.0,3.0,5.0,1.0,6.0,2.7412,4.7254,15,3.5333,2.1336,4.0,3.0,5.0,0.0,6.0,2.3518,4.7149
V2,GPS_TO_VPS,13,11,12,91.67,64.61,98.51,4,29,13.79,5.5,30.56,11,3.43,0.1244,3.475,3.3115,3.527,3.258,3.589,3.3464,3.5136,10,46.0875,66.6766,22.697,14.3042,45.707,4.067,230.19,-1.61,93.785,12,2.3629,2.45,1.657,1.6258,1.7027,1.573,10.141,0.8063,3.9196,13,5.1547,0.2255,5.1835,5.0233,5.3081,4.7033,5.499,5.0185,5.291,12,1.1395,0.3605,1.2458,1.2125,1.2691,0.003,1.3045,0.9105,1.3686,12,10.5377,1.3324,10.7665,10.3998,11.13,6.844,12.297,9.6912,11.3843,13,2.2308,0.8321,2.0,2.0,2.0,1.0,4.0,1.728,2.7336,13,0.6154,1.5021,0.0,0.0,0.0,0.0,4.0,-0.2923,1.5231
V3,GPS_TO_VPS,15,11,15,73.33,48.05,89.1,40,66,60.61,48.55,71.5,11,2.2732,0.1358,2.228,2.181,2.3575,2.086,2.545,2.1819,2.3644,11,22.6203,21.2909,16.47,4.108,41.899,0.0,56.437,8.3169,36.9237,15,4.2648,4.4657,1.674,1.6565,6.4955,1.575,11.553,1.7918,6.7378,15,5.0661,0.228,5.0341,4.9901,5.0781,4.6931,5.5184,4.9398,5.1923,15,1.6119,0.7657,1.9534,1.5631,2.1095,0.0,2.1358,1.1879,2.0359,15,15.2924,7.8821,15.887,14.7655,17.052,0.0,34.62,10.9275,19.6573,15,4.4,1.8048,4.0,3.5,6.0,1.0,6.0,3.4006,5.3994,15,4.2667,2.0862,4.0,3.5,6.0,0.0,6.0,3.1113,5.422
V4,GPS_TO_VPS,14,10,12,83.33,55.2,95.3,20,45,44.44,30.94,58.82,10,3.3918,0.1911,3.356,3.3192,3.4977,3.117,3.74,3.2551,3.5285,13,10.8102,7.8481,8.053,5.158,17.017,1.179,25.638,6.0676,15.5527,12,3.1355,3.4266,1.6655,1.6498,1.706,1.637,10.515,0.9583,5.3127,14,5.1606,0.2852,5.215,5.0363,5.3066,4.5739,5.6098,4.9959,5.3252,12,1.3995,0.6624,1.6633,1.5089,1.739,0.0,1.8298,0.9786,1.8203,12,12.0443,5.7278,14.1195,12.7005,15.0868,0.0,16.627,8.405,15.6836,14,3.2143,1.7177,4.0,2.0,4.0,1.0,6.0,2.2225,4.2061,14,2.5714,2.4088,4.0,0.0,4.0,0.0,6.0,1.1806,3.9622
V5,GPS_TO_VPS,14,12,13,92.31,66.69,98.63,4,31,12.9,5.13,28.85,12,3.3613,0.0962,3.357,3.2948,3.4592,3.217,3.466,3.3001,3.4224,10,23.1055,40.9354,8.1275,3.6128,15.8695,1.022,135.762,-6.1779,52.3889,13,1.7924,0.3119,1.716,1.685,1.728,1.661,2.827,1.6039,1.9809,14,5.1738,0.2719,5.169,4.9909,5.3345,4.7542,5.6102,5.0168,5.3308,13,1.1558,0.3632,1.2473,1.1455,1.3131,0.0,1.4319,0.9363,1.3752,13,10.2503,3.1588,11.034,10.635,11.435,0.0,12.324,8.3415,12.1591,14,2.2143,0.8018,2.0,2.0,2.0,1.0,4.0,1.7513,2.6772,14,0.5714,1.4525,0.0,0.0,0.0,0.0,4.0,-0.2672,1.4101
,,8,0,0,,,,0,0,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
