session_id,unique_events,unique_from_states,unique_to_states,unique_sources,n_events
20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68,"dwell_passed, dwell_reset, dwell_started, handover_completed_approximate, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, VpsScanning","Gps, Pdr",418
20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6,"indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",84
20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784,"destination_arrived, indoor_state, outdoor_state, pdr_destination_arrived, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, Gps, IndoorLocalized, NavigatingToB9Entrance, NoDestination, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",155
20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F,"indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",171
20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A,"dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, OutdoorGps, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",262
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,"dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",162
20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B,"dwell_passed, dwell_reset, dwell_started, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr","Calculating, EnteringWithPdr, IndoorLocalized, NavigatingToB9Entrance, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",434
20260918_090717_378_BT_GPS_TO_VPS_NORMAL_DEV_1159,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",24
20260918_092151_652_V2_GPS_TO_VPS_NORMAL_DEV_4393,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",20
20260918_090000_241_BQ_GPS_TO_VPS_NORMAL_DEV_3771,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",21
